city,prop_id,facility_type,floor_area,site_eui
Boston,1,Office,44464,76.2
Boston,2,Office,44000,105.9
Boston,3,Office,438392,74.3
Boston,4,Office,38000,55.2
Boston,5,Office,261168,118.4
Boston,6,Multifamily Housing,203204,51.6
Boston,7,Office,123678,142.2
Boston,8,Office,1498161,74.2
Boston,9,Office,124055,60.6
Boston,10,Office,296176,110.2
Boston,11,Office,550326,62
Boston,12,Office,572998,78.2
Boston,13,Office,473906,61.7
Boston,14,Multifamily Housing,800238,124.4
Boston,15,Office,585345,78.4
Boston,16,Office,159272,69.9
Boston,17,Office,620642,53.8
Boston,18,Office,48905,64.3
Boston,19,Office,80344,64.3
Boston,20,Office,195000,39.8
Boston,21,Multifamily Housing,66456,88.9
Boston,22,Multifamily Housing,34821,78.6
Boston,23,Office,134789,65.5
Boston,24,Office,40696,50.8
Boston,25,Multifamily Housing,199545,176.9
Boston,26,Office,75500,50.3
Boston,27,Multifamily Housing,571440,88
Boston,28,Multifamily Housing,279963,104.4
Boston,29,Office,285556,157
Boston,30,Multifamily Housing,19161,150.6
Boston,31,Office,146388,74.4
Boston,32,Multifamily Housing,21779,1.1
Boston,33,Office,1034179,80.3
Boston,34,Multifamily Housing,108472,62.6
Boston,35,Multifamily Housing,389949,85.9
Boston,36,Multifamily Housing,49283,347.3
Boston,37,Office,56025,57.9
Boston,38,Multifamily Housing,60000,82.9
Boston,39,Office,287141,64.8
Boston,40,Office,140388,37.1
Boston,41,Multifamily Housing,588634,93
Boston,42,Office,57108,147.8
Boston,43,Multifamily Housing,37522,63.4
Boston,44,Multifamily Housing,33824,53
Boston,45,Multifamily Housing,859162,151.9
Boston,46,Multifamily Housing,334068,98.3
Boston,47,Office,37495,105.5
Boston,48,Office,1511250,54.1
Boston,49,Office,8100,57.9
Boston,50,Multifamily Housing,4284,78.4
Boston,51,Office,521903,59.4
Boston,52,Multifamily Housing,63287,35.6
Boston,53,Multifamily Housing,4284,65.3
Boston,54,Multifamily Housing,66400,63.3
Boston,55,Office,130751,159.7
Boston,56,Office,379000,17.9
Boston,57,Multifamily Housing,37182,8.4
Boston,58,Multifamily Housing,350714,51.9
Boston,59,Multifamily Housing,56239,43.7
Boston,60,Office,57986,70.1
Boston,61,Multifamily Housing,31092,2.3
Boston,62,Office,88203,51.2
Boston,63,Multifamily Housing,121944,31.9
Boston,64,Multifamily Housing,50220,82.7
Boston,65,Office,64884,82.8
Boston,66,Office,120000,81.8
Boston,67,Multifamily Housing,33492,3.3
Boston,68,Multifamily Housing,34944,67.9
Boston,69,Office,42007,37.8
Boston,70,Multifamily Housing,24573,51.5
Boston,71,Office,52337,102.2
Boston,72,Office,3200,83.4
Boston,73,Office,83845,74.4
Boston,74,Office,115551,44
Boston,75,Office,129800,67.5
Boston,76,Multifamily Housing,35778,159.5
Boston,77,Office,190941,22.5
Boston,78,Multifamily Housing,22386,76.4
Boston,79,Multifamily Housing,108000,60.2
Boston,80,Multifamily Housing,33828,246.8
Boston,81,Multifamily Housing,24000,87.3
Boston,82,Multifamily Housing,30456,55.5
Boston,83,Multifamily Housing,29049,104.1
Boston,84,Multifamily Housing,96696,73.5
Boston,85,Multifamily Housing,11200,64.2
Boston,86,Office,522349,65.3
Boston,87,Office,227365,62.7
Boston,88,Office,76323,105.2
Boston,89,Office,247733,152.9
Boston,90,Office,73339,86.5
Boston,91,Office,50600,119
Boston,92,Multifamily Housing,35308,65.6
Boston,93,Office,236461,69.8
Boston,94,Multifamily Housing,180000,53.1
Boston,95,Multifamily Housing,32955,3
Boston,96,Multifamily Housing,465238,64.2
Boston,97,Office,74160,49.3
Boston,98,Multifamily Housing,402572,116
Boston,99,Multifamily Housing,24000,111.8
Boston,100,Multifamily Housing,12685,246.5
Boston,101,Multifamily Housing,44954,98.9
Boston,102,Multifamily Housing,141204,96.3
Boston,103,Office,60000,88.7
Boston,104,Multifamily Housing,14861,64.7
Boston,105,Office,68035,138.8
Boston,106,Multifamily Housing,14400,81.7
Boston,107,Office,233763,38.8
Boston,108,Office,9680,137.3
Boston,109,Office,96032,119.3
Boston,110,Multifamily Housing,50000,49.8
Boston,111,Office,218104,49.6
Boston,112,Multifamily Housing,36552,59.8
Boston,113,Office,118000,79.3
Boston,114,Office,2039467,97.5
Boston,115,Office,96393,107.3
Boston,116,Office,365702,78.1
Boston,117,Multifamily Housing,66858,51.1
Boston,118,Office,85103,62.5
Boston,119,Multifamily Housing,8640,79.5
Boston,120,Multifamily Housing,8640,79.4
Boston,121,Multifamily Housing,19824,13.3
Boston,122,Multifamily Housing,21440,84.6
Boston,123,Office,105197,78.8
Boston,124,Office,78101,89.5
Boston,125,Multifamily Housing,35036,61.8
Boston,126,Multifamily Housing,12702,84.5
Boston,127,Multifamily Housing,105949,69.3
Boston,128,Office,1045851,75.7
Boston,129,Multifamily Housing,28000,187.8
Boston,130,Multifamily Housing,57800,81.4
Boston,131,Multifamily Housing,21600,270.3
Boston,132,Multifamily Housing,63162,155.2
