city,prop_id,facility_type,floor_area,site_eui
Denver,1,Multifamily Housing,25289,14.8
Denver,2,Multifamily Housing,25350,59.3
Denver,3,Multifamily Housing,25402,92
Denver,4,Multifamily Housing,25411,73.7
Denver,5,Multifamily Housing,25468,79
Denver,6,Multifamily Housing,25564,81.8
Denver,7,Multifamily Housing,25592,102.9
Denver,8,Multifamily Housing,25620,61.8
Denver,9,Multifamily Housing,25676,46.5
Denver,10,Multifamily Housing,25687,87.1
Denver,11,Multifamily Housing,25813,60.6
Denver,12,Multifamily Housing,25813,61.4
Denver,13,Multifamily Housing,26222,111.1
Denver,14,Multifamily Housing,26425,96.5
Denver,15,Multifamily Housing,26490,82.4
Denver,16,Multifamily Housing,26593,116.1
Denver,17,Multifamily Housing,26725,88.8
Denver,18,Multifamily Housing,27000,56
Denver,19,Multifamily Housing,27077,87.1
Denver,20,Multifamily Housing,27120,57
Denver,21,Multifamily Housing,27156,64
Denver,22,Multifamily Housing,27172,60.1
Denver,23,Multifamily Housing,27958,54.7
Denver,24,Multifamily Housing,28001,71.1
Denver,25,Multifamily Housing,28042,71
Denver,26,Multifamily Housing,28090,97.7
Denver,27,Multifamily Housing,28090,50.9
Denver,28,Multifamily Housing,28158,47.2
Denver,29,Multifamily Housing,28368,75.4
Denver,30,Multifamily Housing,28372,141.7
Denver,31,Multifamily Housing,28378,54.6
Denver,32,Multifamily Housing,28598,39.5
Denver,33,Multifamily Housing,28600,60.3
Denver,34,Multifamily Housing,28705,78.2
Denver,35,Multifamily Housing,28715,23.3
Denver,36,Multifamily Housing,28715,42.8
Denver,37,Multifamily Housing,28715,45.4
Denver,38,Multifamily Housing,28861,43.1
Denver,39,Multifamily Housing,28861,25
Denver,40,Multifamily Housing,28861,43.5
Denver,41,Multifamily Housing,28976,122.8
Denver,42,Multifamily Housing,29521,54.2
Denver,43,Multifamily Housing,29959,72.3
Denver,44,Multifamily Housing,30175,86.3
Denver,45,Multifamily Housing,30184,95
Denver,46,Multifamily Housing,30340,71.7
Denver,47,Multifamily Housing,30720,63.2
Denver,48,Multifamily Housing,30834,57.7
Denver,49,Multifamily Housing,31000,76.3
Denver,50,Multifamily Housing,31266,43.7
Denver,51,Multifamily Housing,31590,80.8
Denver,52,Multifamily Housing,31590,86.4
Denver,53,Multifamily Housing,31590,85.8
Denver,54,Multifamily Housing,31590,91.8
Denver,55,Multifamily Housing,31590,87
Denver,56,Multifamily Housing,31590,86.4
Denver,57,Multifamily Housing,31924,130.9
Denver,58,Multifamily Housing,32384,71.2
Denver,59,Multifamily Housing,32637,124.9
Denver,60,Multifamily Housing,32808,132.2
Denver,61,Multifamily Housing,32850,100.2
Denver,62,Multifamily Housing,32850,122.7
Denver,63,Multifamily Housing,32850,113.6
Denver,64,Multifamily Housing,32850,106.7
Denver,65,Multifamily Housing,32850,128.2
Denver,66,Multifamily Housing,33000,94.4
Denver,67,Multifamily Housing,33000,99.5
Denver,68,Multifamily Housing,33095,58.4
Denver,69,Multifamily Housing,33210,91.4
