city,prop_id,facility_type,floor_area,site_eui
Los Angeles,1,Multifamily Housing,24000,32.3
Los Angeles,2,Multifamily Housing,65000,14
Los Angeles,3,Multifamily Housing,183174,35.3
Los Angeles,4,Multifamily Housing,18000,40.1
Los Angeles,5,Office,12500,56.3
Los Angeles,6,Multifamily Housing,36960,36.3
Los Angeles,7,Multifamily Housing,21660,33.5
Los Angeles,8,Multifamily Housing,22237,37.2
Los Angeles,9,Multifamily Housing,30261,49
Los Angeles,10,Multifamily Housing,33580,40
Los Angeles,11,Multifamily Housing,30095,13.5
Los Angeles,12,Office,516405,99.4
Los Angeles,13,Multifamily Housing,20300,46.4
Los Angeles,14,Multifamily Housing,50990,43
Los Angeles,15,Office,140409,81.8
Los Angeles,16,Multifamily Housing,88040,31.4
Los Angeles,17,Multifamily Housing,31665,24.4
Los Angeles,18,Multifamily Housing,34872,35.8
Los Angeles,19,Multifamily Housing,29170,32.8
Los Angeles,20,Office,492320,43.1
Los Angeles,21,Multifamily Housing,22000,17.7
Los Angeles,22,Multifamily Housing,24187,34.3
Los Angeles,23,Multifamily Housing,27700,32.4
Los Angeles,24,Multifamily Housing,36000,20.5
Los Angeles,25,Office,38000,63.1
Los Angeles,26,Office,257028,31.6
Los Angeles,27,Multifamily Housing,21060,34.2
Los Angeles,28,Multifamily Housing,29528,35.1
Los Angeles,29,Multifamily Housing,255000,38.8
Los Angeles,30,Office,180754,43.7
Los Angeles,31,Multifamily Housing,54795,37.6
Los Angeles,32,Multifamily Housing,2960926,3.3
Los Angeles,33,Office,432424,10.6
Los Angeles,34,Multifamily Housing,33840,37
Los Angeles,35,Multifamily Housing,105455,31.3
Los Angeles,36,Multifamily Housing,132417,37.3
Los Angeles,37,Multifamily Housing,28800,15.9
Los Angeles,38,Multifamily Housing,49820,39.6
Los Angeles,39,Multifamily Housing,37446,30.2
Los Angeles,40,Multifamily Housing,93243,19.9
Los Angeles,41,Multifamily Housing,32400,11.8
Los Angeles,42,Multifamily Housing,23152,53.6
Los Angeles,43,Multifamily Housing,34941,34.6
Los Angeles,44,Multifamily Housing,24328,38.5
Los Angeles,45,Multifamily Housing,21196,40.5
Los Angeles,46,Office,25379,8.8
Los Angeles,47,Multifamily Housing,55000,2.8
Los Angeles,48,Office,60587,61.9
Los Angeles,49,Multifamily Housing,224000,19.7
Los Angeles,50,Multifamily Housing,62500,11.3
Los Angeles,51,Multifamily Housing,190135,35.3
Los Angeles,52,Multifamily Housing,40100,15.7
Los Angeles,53,Multifamily Housing,108000,36.9
Los Angeles,54,Multifamily Housing,48458,48.1
Los Angeles,55,Multifamily Housing,105455,46.3
Los Angeles,56,Multifamily Housing,148890,30.3
Los Angeles,57,Multifamily Housing,45077,21
Los Angeles,58,Office,219122,45.6
Los Angeles,59,Multifamily Housing,33500,16.5
Los Angeles,60,Multifamily Housing,73519,32.6
Los Angeles,61,Multifamily Housing,21777,14.1
Los Angeles,62,Multifamily Housing,51177,30.9
Los Angeles,63,Multifamily Housing,22504,45.8
Los Angeles,64,Multifamily Housing,28000,18.7
Los Angeles,65,Multifamily Housing,401567,36.3
Los Angeles,66,Multifamily Housing,222048,33.9
Los Angeles,67,Multifamily Housing,35832,38.7
Los Angeles,68,Office,228570,43.3
Los Angeles,69,Office,490000,46.9
Los Angeles,70,Multifamily Housing,33451,46.3
Los Angeles,71,Multifamily Housing,93243,48.7
Los Angeles,72,Multifamily Housing,26177,26.5
Los Angeles,73,Multifamily Housing,73181,28.8
Los Angeles,74,Multifamily Housing,82689,25.3
Los Angeles,75,Multifamily Housing,50840,43.2
Los Angeles,76,Multifamily Housing,41000,3.2
Los Angeles,77,Office,37463,56.9
Los Angeles,78,Multifamily Housing,75948,38.8
Los Angeles,79,Office,36200,56.4
Los Angeles,80,Multifamily Housing,28229,38.6
Los Angeles,81,Office,120595,57.5
Los Angeles,82,Office,42100,57.7
Los Angeles,83,Office,55530,11.9
Los Angeles,84,Office,12865,48.2
Los Angeles,85,Multifamily Housing,21936,80
Los Angeles,86,Multifamily Housing,87234,46.5
Los Angeles,87,Multifamily Housing,110000,11.8
Los Angeles,88,Multifamily Housing,250719,38
Los Angeles,89,Multifamily Housing,44300,37.2
Los Angeles,90,Multifamily Housing,197158,38.7
Los Angeles,91,Multifamily Housing,65055,32.8
Los Angeles,92,Multifamily Housing,29252,32
Los Angeles,93,Multifamily Housing,630955,50.7
Los Angeles,94,Multifamily Housing,183926,32.6
Los Angeles,95,Multifamily Housing,67564,45
Los Angeles,96,Multifamily Housing,214667,33.1
