city,prop_id,facility_type,floor_area,site_eui
New York City,1,Multifamily Housing,263259,28.1
New York City,2,Multifamily Housing,32800,101.6
New York City,3,Multifamily Housing,32350,100.4
New York City,4,Multifamily Housing,33800,117.2
New York City,5,Multifamily Housing,51960,107.7
New York City,6,Multifamily Housing,39141,36.9
New York City,7,Multifamily Housing,44262,32.5
New York City,8,Multifamily Housing,36600,69.6
New York City,9,Multifamily Housing,38117,166
New York City,10,Multifamily Housing,48000,113.3
New York City,11,Office,26909,90.5
New York City,12,Office,35610,59.5
New York City,13,Office,33000,29.2
New York City,14,Office,66869,24.2
New York City,15,Office,53418,36.4
New York City,16,Office,36000,86.8
New York City,17,K-12 School,34800,28.2
New York City,18,Multifamily Housing,32400,28.3
New York City,19,Multifamily Housing,36000,11.3
New York City,20,Multifamily Housing,44320,90.1
New York City,21,Multifamily Housing,45407,87.4
New York City,22,Multifamily Housing,55740,103.7
New York City,23,Multifamily Housing,76430,80.2
New York City,24,Multifamily Housing,277990,43.2
New York City,25,Multifamily Housing,57900,24.9
New York City,26,Multifamily Housing,66990,94.1
New York City,27,Multifamily Housing,76514,87.4
New York City,28,Multifamily Housing,63033,159.2
New York City,29,Multifamily Housing,31675,54
New York City,30,Multifamily Housing,27975,111.4
New York City,31,Multifamily Housing,34642,93.8
New York City,32,Multifamily Housing,38833,87.5
New York City,33,Multifamily Housing,30510,134.4
New York City,34,Multifamily Housing,33610,115.9
New York City,35,Multifamily Housing,54550,26.3
New York City,36,Multifamily Housing,63618,148
New York City,37,Multifamily Housing,59320,75.8
New York City,38,Multifamily Housing,41240,100.7
New York City,39,Multifamily Housing,45135,130.7
New York City,40,Multifamily Housing,27975,113.3
New York City,41,Multifamily Housing,42790,131.2
New York City,42,Multifamily Housing,42383,24.4
New York City,43,Multifamily Housing,45310,125.8
New York City,44,Multifamily Housing,36425,153.2
New York City,45,Multifamily Housing,41863,115.9
New York City,46,Multifamily Housing,34010,136
New York City,47,Multifamily Housing,34510,97.3
New York City,48,Multifamily Housing,39904,113.2
New York City,49,Multifamily Housing,32830,88.6
New York City,50,Multifamily Housing,55790,19.2
New York City,51,Multifamily Housing,41513,118.8
New York City,52,Multifamily Housing,33610,137.8
New York City,53,Multifamily Housing,46665,80.4
New York City,54,Multifamily Housing,38614,82.6
New York City,55,Multifamily Housing,37480,151.1
New York City,56,Multifamily Housing,26310,129.5
New York City,57,Multifamily Housing,48510,18.6
New York City,58,Multifamily Housing,33910,23.3
New York City,59,Multifamily Housing,35396,117.6
New York City,60,Multifamily Housing,34516,148.1
New York City,61,Multifamily Housing,28254,38
New York City,62,Multifamily Housing,36010,121.3
New York City,63,Multifamily Housing,34010,107.2
New York City,64,Multifamily Housing,45510,88.4
New York City,65,Multifamily Housing,27277,89.7
New York City,66,Multifamily Housing,43010,83.5
New York City,67,Multifamily Housing,26316,86.2
New York City,68,Multifamily Housing,25360,26.4
New York City,69,Multifamily Housing,47520,79.4
New York City,70,Multifamily Housing,41410,97.1
New York City,71,Multifamily Housing,31010,119.3
New York City,72,Multifamily Housing,40102,144.2
New York City,73,Multifamily Housing,26316,87.9
New York City,74,Multifamily Housing,27132,142.1
New York City,75,Multifamily Housing,44010,89.7
New York City,76,Multifamily Housing,46586,106.8
New York City,77,Multifamily Housing,29490,28.6
New York City,78,Multifamily Housing,36010,13.7
New York City,79,Multifamily Housing,35280,28.2
New York City,80,Multifamily Housing,28510,337.8
New York City,81,Multifamily Housing,25306,107.3
New York City,82,Multifamily Housing,43824,163.2
New York City,83,Multifamily Housing,31402,120.1
New York City,84,Multifamily Housing,37717,32.9
New York City,85,Multifamily Housing,28960,24.2
New York City,86,Multifamily Housing,46560,24.5
New York City,87,Multifamily Housing,31510,28.5
New York City,88,Multifamily Housing,25670,25.2
New York City,89,Multifamily Housing,42510,18.8
New York City,90,Multifamily Housing,38410,105.2
New York City,91,Multifamily Housing,40010,14.1
New York City,92,Multifamily Housing,44095,104.4
New York City,93,Multifamily Housing,46690,125.9
New York City,94,Multifamily Housing,46690,69.4
New York City,95,Multifamily Housing,31678,123.8
New York City,96,Multifamily Housing,37819,139.4
New York City,97,Multifamily Housing,49320,94.1
New York City,98,Multifamily Housing,30662,110.1
New York City,99,Multifamily Housing,29908,20.8
New York City,100,Multifamily Housing,25510,88.2
New York City,101,Multifamily Housing,26710,135.2
New York City,102,Multifamily Housing,46690,110.8
New York City,103,Multifamily Housing,46690,116.3
New York City,104,Multifamily Housing,46690,97.6
New York City,105,Multifamily Housing,48010,113.3
New York City,106,Multifamily Housing,45130,144.1
New York City,107,Multifamily Housing,31855,111.7
New York City,108,Multifamily Housing,42874,117.9
New York City,109,Multifamily Housing,30910,124.2
New York City,110,Multifamily Housing,25648,39.5
New York City,111,Multifamily Housing,29245,29.5
New York City,112,Multifamily Housing,49618,109.6
New York City,113,Multifamily Housing,57730,79.8
New York City,114,Multifamily Housing,43210,110.3
New York City,115,Multifamily Housing,39826,118.3
New York City,116,Multifamily Housing,38830,155.1
New York City,117,Multifamily Housing,29746,113.1
New York City,118,Multifamily Housing,45490,81.7
New York City,119,Multifamily Housing,28035,106.7
New York City,120,Multifamily Housing,28035,100.7
New York City,121,Multifamily Housing,49864,104.5
New York City,122,Multifamily Housing,42000,121.5
New York City,123,Multifamily Housing,37010,126.8
New York City,124,Multifamily Housing,28460,115.1
New York City,125,Multifamily Housing,37110,65.4
New York City,126,Multifamily Housing,39067,123.3
New York City,127,Multifamily Housing,46220,105
New York City,128,Multifamily Housing,49624,154.6
New York City,129,Multifamily Housing,49420,94.5
New York City,130,Multifamily Housing,40610,64.8
New York City,131,Multifamily Housing,38010,100.8
New York City,132,Multifamily Housing,25510,81.6
New York City,133,Multifamily Housing,41444,82.7
New York City,134,Multifamily Housing,25300,77.5
New York City,135,Multifamily Housing,43760,88.1
New York City,136,Multifamily Housing,28410,111.8
New York City,137,Multifamily Housing,25210,97.5
New York City,138,Multifamily Housing,35300,145.6
New York City,139,Multifamily Housing,25760,94.9
New York City,140,Multifamily Housing,25765,124.2
New York City,141,Multifamily Housing,39824,203.3
New York City,142,Multifamily Housing,39498,128.4
New York City,143,Multifamily Housing,43350,66.6
New York City,144,Multifamily Housing,31292,22.8
New York City,145,Multifamily Housing,41410,121.5
New York City,146,Multifamily Housing,32590,46.6
New York City,147,Multifamily Housing,30040,206.5
New York City,148,Multifamily Housing,38930,54.6
New York City,149,Multifamily Housing,30335,116.5
New York City,150,Multifamily Housing,44016,79.8
New York City,151,Multifamily Housing,46595,62.7
New York City,152,Multifamily Housing,49710,16.7
New York City,153,Multifamily Housing,25832,46.7
New York City,154,Multifamily Housing,44147,96.5
New York City,155,Multifamily Housing,37385,25.9
New York City,156,Multifamily Housing,31210,153.1
New York City,157,Multifamily Housing,49586,146.6
New York City,158,Multifamily Housing,26500,93.1
New York City,159,Multifamily Housing,49284,22
New York City,160,Multifamily Housing,29710,18.4
New York City,161,Multifamily Housing,79098,106.3
New York City,162,Multifamily Housing,67800,81.3
New York City,163,Multifamily Housing,71640,90.1
New York City,164,Multifamily Housing,36010,119.2
New York City,165,Multifamily Housing,32755,181.5
New York City,166,Multifamily Housing,46615,135.7
New York City,167,Multifamily Housing,37930,148.9
New York City,168,Multifamily Housing,48674,26.2
New York City,169,Multifamily Housing,45415,26.7
New York City,170,Multifamily Housing,25890,112.1
New York City,171,Multifamily Housing,45275,92.7
New York City,172,Multifamily Housing,27154,158.2
New York City,173,Multifamily Housing,35794,16.8
New York City,174,Multifamily Housing,42390,112.1
New York City,175,Multifamily Housing,35355,122.5
New York City,176,Multifamily Housing,42474,129.9
New York City,177,Multifamily Housing,45950,107.7
New York City,178,Multifamily Housing,35710,121.7
New York City,179,Multifamily Housing,46000,110.4
New York City,180,Multifamily Housing,49510,111.8
New York City,181,Multifamily Housing,29646,144.1
New York City,182,Multifamily Housing,43210,88.5
New York City,183,Multifamily Housing,44438,15.2
New York City,184,Multifamily Housing,40900,97
New York City,185,Multifamily Housing,40102,152.4
New York City,186,Multifamily Housing,46155,20.9
New York City,187,Multifamily Housing,39610,105
New York City,188,Multifamily Housing,44172,87.6
New York City,189,Multifamily Housing,25010,117.4
New York City,190,Multifamily Housing,33542,82.8
New York City,191,Multifamily Housing,45046,25.9
New York City,192,Multifamily Housing,48064,25.6
New York City,193,Multifamily Housing,42118,116.7
New York City,194,Multifamily Housing,49115,43.9
New York City,195,Multifamily Housing,44010,92
New York City,196,Multifamily Housing,45760,104.1
New York City,197,Multifamily Housing,43160,93.7
New York City,198,Multifamily Housing,28190,88.4
New York City,199,Multifamily Housing,49468,141.8
New York City,200,Multifamily Housing,67884,121.1
New York City,201,Multifamily Housing,45304,142.4
New York City,202,Multifamily Housing,47630,99.6
New York City,203,Multifamily Housing,47410,130.3
New York City,204,Multifamily Housing,25510,216.1
New York City,205,Multifamily Housing,29168,27.1
New York City,206,Multifamily Housing,30570,125.3
New York City,207,Multifamily Housing,43160,71
New York City,208,Multifamily Housing,48784,64.7
New York City,209,Multifamily Housing,35970,27.5
New York City,210,Multifamily Housing,60000,12.2
New York City,211,Multifamily Housing,32405,32.9
New York City,212,Multifamily Housing,38135,100.4
New York City,213,Multifamily Housing,44644,24.2
New York City,214,Multifamily Housing,26410,17.5
New York City,215,Multifamily Housing,42705,28.3
New York City,216,Multifamily Housing,48182,21.6
New York City,217,Multifamily Housing,45709,45.2
New York City,218,Multifamily Housing,46762,103.9
New York City,219,Multifamily Housing,46690,80.3
New York City,220,Multifamily Housing,46690,123
New York City,221,Multifamily Housing,43724,122.7
New York City,222,Multifamily Housing,46660,134
New York City,223,Multifamily Housing,29510,96.6
New York City,224,Multifamily Housing,41280,95
New York City,225,Multifamily Housing,42010,121.4
New York City,226,Multifamily Housing,36852,143.4
New York City,227,Multifamily Housing,30566,67.1
New York City,228,Multifamily Housing,42405,121.6
New York City,229,Multifamily Housing,42154,88.6
New York City,230,Multifamily Housing,36510,25.3
New York City,231,Multifamily Housing,26710,97.4
New York City,232,Multifamily Housing,44010,23.2
New York City,233,Multifamily Housing,44810,93.1
New York City,234,Multifamily Housing,35395,24.9
New York City,235,Multifamily Housing,38276,180.6
New York City,236,Multifamily Housing,39410,108.9
New York City,237,Multifamily Housing,43965,108
New York City,238,Multifamily Housing,41606,118.9
New York City,239,Multifamily Housing,41610,191.6
New York City,240,Multifamily Housing,43018,28.2
New York City,241,Multifamily Housing,30460,88.1
New York City,242,Multifamily Housing,29260,91.2
New York City,243,Multifamily Housing,48182,28.8
New York City,244,Multifamily Housing,29782,115.6
New York City,245,Multifamily Housing,41491,88.6
New York City,246,Multifamily Housing,25192,23.4
New York City,247,Multifamily Housing,29300,170.6
New York City,248,Multifamily Housing,28775,16.5
New York City,249,Multifamily Housing,39600,13.1
New York City,250,Multifamily Housing,39600,10.3
New York City,251,Multifamily Housing,52200,11.1
New York City,252,Office,52000,5.3
New York City,253,Multifamily Housing,32692,101.1
New York City,254,Office,31500,26.4
New York City,255,K-12 School,46642,95.5
New York City,256,Multifamily Housing,31812,123.7
New York City,257,Multifamily Housing,28963,121.9
New York City,258,Office,71043,49.4
New York City,259,Multifamily Housing,70667,102.9
New York City,260,Multifamily Housing,134585,105.2
New York City,261,Multifamily Housing,41000,80.1
New York City,262,Multifamily Housing,97884,15.6
New York City,263,Multifamily Housing,88212,72.9
New York City,264,Multifamily Housing,53869,85.1
New York City,265,Multifamily Housing,65370,118.5
New York City,266,Multifamily Housing,79391,91
New York City,267,Multifamily Housing,80000,104
New York City,268,Multifamily Housing,77280,60
New York City,269,Multifamily Housing,60714,81.2
New York City,270,Multifamily Housing,65640,74.9
New York City,271,Multifamily Housing,113850,90.8
New York City,272,Multifamily Housing,108151,68.7
New York City,273,Multifamily Housing,121000,63.9
New York City,274,Multifamily Housing,64152,86.1
New York City,275,Multifamily Housing,74000,77.4
New York City,276,Multifamily Housing,132000,87.9
New York City,277,Multifamily Housing,65296,63.6
New York City,278,Multifamily Housing,86100,79
New York City,279,Multifamily Housing,61818,82.3
New York City,280,Multifamily Housing,57024,75.9
New York City,281,Multifamily Housing,65370,103
New York City,282,Multifamily Housing,72312,137.8
New York City,283,Multifamily Housing,82200,636.8
New York City,284,Multifamily Housing,76650,64.4
