city,prop_id,facility_type,floor_area,site_eui
Orlando,1,Office,15120,28.9
Orlando,2,Office,94560,52.2
Orlando,3,Office,63348,61.5
Orlando,4,Multifamily Housing,114450,16.5
Orlando,5,Office,279516,44.1
Orlando,6,Office,365830,51.4
Orlando,7,Multifamily Housing,296422,35.2
Orlando,8,Multifamily Housing,52187,39.1
Orlando,9,Office,105171,72.7
Orlando,10,Multifamily Housing,63338,3.8
Orlando,11,Multifamily Housing,108987,35.5
Orlando,12,Office,132766,75
Orlando,13,Multifamily Housing,462280,36
Orlando,14,Office,79699,134.1
Orlando,15,Office,72766,122.3
Orlando,16,Multifamily Housing,331153,32.5
Orlando,17,Office,40142,140.4
Orlando,18,Office,276954,78.8
Orlando,19,Office,175474,49.4
Orlando,20,Multifamily Housing,293018,14.7
Orlando,21,Office,63544,65.7
Orlando,22,Office,272905,50.9
Orlando,23,Multifamily Housing,176004,41.1
Orlando,24,Office,49293,111.2
Orlando,25,Office,594627,71.4
Orlando,26,Office,242174,49.7
Orlando,27,Office,81551,61.4
Orlando,28,Office,75978,28.7
Orlando,29,Office,290113,134.5
Orlando,30,Office,193004,56.4
Orlando,31,Office,112926,49.1
Orlando,32,Multifamily Housing,91960,27.5
Orlando,33,Office,84959,49
Orlando,34,Office,97406,27.3
Orlando,35,Multifamily Housing,721710,170.3
Orlando,36,Multifamily Housing,548970,19.4
Orlando,37,Office,231458,62
Orlando,38,Office,89763,55.5
Orlando,39,Office,443448,62.3
Orlando,40,Office,68056,87.3
Orlando,41,Office,14150,80.5
Orlando,42,Office,91882,14.8
Orlando,43,Multifamily Housing,232758,79.5
Orlando,44,Multifamily Housing,300956,27.7
Orlando,45,Office,180972,65.3
Orlando,46,Office,82039,54.2
Orlando,47,Office,64929,63.3
Orlando,48,Multifamily Housing,63510,28.6
Orlando,49,Office,231661,40.5
Orlando,50,Office,93009,72.6
Orlando,51,Office,112109,49.2
Orlando,52,Office,52804,53.6
Orlando,53,Multifamily Housing,359889,18.8
Orlando,54,Office,111356,51.3
Orlando,55,Office,165732,45.9
Orlando,56,Multifamily Housing,264955,24.6
Orlando,57,Office,483172,77.1
Orlando,58,Multifamily Housing,65916,25.4
Orlando,59,Multifamily Housing,406840,19.9
Orlando,60,Office,85823,159.9
Orlando,61,Office,175618,0.3
Orlando,62,Multifamily Housing,91248,28.5
Orlando,63,Multifamily Housing,131789,39.7
Orlando,64,Multifamily Housing,284016,38.4
Orlando,65,Multifamily Housing,224795,28.1
Orlando,66,Office,359731,50.4
Orlando,67,Multifamily Housing,79942,58.8
Orlando,68,Office,366252,47.7
Orlando,69,Multifamily Housing,148186,23.6
Orlando,70,Office,144976,29.1
Orlando,71,Multifamily Housing,131680,32
Orlando,72,Multifamily Housing,70089,7.4
Orlando,73,Office,580572,51.4
Orlando,74,Office,81820,59.5
Orlando,75,Office,60444,1.3
Orlando,76,Office,111356,59.6
Orlando,77,Office,128899,32.9
Orlando,78,Multifamily Housing,50387,2.3
Orlando,79,Multifamily Housing,50924,42.3
Orlando,80,Office,111588,73.7
Orlando,81,Office,145503,40.9
Orlando,82,Office,43700,35.1
Orlando,83,Multifamily Housing,106906,52.1
Orlando,84,Office,193568,186.8
Orlando,85,Office,64232,54.5
Orlando,86,Office,70709,77.8
Orlando,87,Multifamily Housing,98307,26.1
