city,prop_id,facility_type,floor_area,site_eui
Philadelphia,1,Multifamily Housing,78275,145.9
Philadelphia,2,Multifamily Housing,878176,16.9
Philadelphia,3,Multifamily Housing,171098,37
Philadelphia,4,Office,79034,50.9
Philadelphia,5,K-12 School,86394,40.9
Philadelphia,6,Multifamily Housing,521968,34.9
Philadelphia,7,Office,526472,72
Philadelphia,8,Office,89150,52.7
Philadelphia,9,Office,415482,73.5
Philadelphia,10,Office,365000,78.6
Philadelphia,11,Multifamily Housing,129330,52.9
Philadelphia,12,Multifamily Housing,339779,62.2
Philadelphia,13,K-12 School,70200,88.1
Philadelphia,14,K-12 School,74885,44.7
Philadelphia,15,Office,109842,57.3
Philadelphia,16,Office,145375,115.7
Philadelphia,17,K-12 School,184000,32.6
Philadelphia,18,Multifamily Housing,98656,60.6
Philadelphia,19,Multifamily Housing,134673,121.7
Philadelphia,20,Office,136566,162.1
Philadelphia,21,Office,191783,180.7
Philadelphia,22,Office,808040,70.7
Philadelphia,23,Multifamily Housing,73000,26.8
Philadelphia,24,Multifamily Housing,50100,26.8
Philadelphia,25,Multifamily Housing,83286,33.1
Philadelphia,26,Multifamily Housing,79733,79.2
Philadelphia,27,Office,70494,63.2
Philadelphia,28,Office,470615,173.9
Philadelphia,29,Multifamily Housing,83925,40.6
Philadelphia,30,Multifamily Housing,55620,83.2
Philadelphia,31,Multifamily Housing,82608,72.2
Philadelphia,32,Multifamily Housing,58765,73.3
Philadelphia,33,Multifamily Housing,61918,29.5
Philadelphia,34,Office,135000,48.6
Philadelphia,35,K-12 School,346000,59.9
Philadelphia,36,K-12 School,89159,54.5
Philadelphia,37,Multifamily Housing,106100,41.3
Philadelphia,38,K-12 School,68235,196.1
Philadelphia,39,Multifamily Housing,52000,23.4
Philadelphia,40,Multifamily Housing,50997,7.8
Philadelphia,41,Multifamily Housing,53591,84.5
Philadelphia,42,Multifamily Housing,163400,77.4
Philadelphia,43,Office,51024,46.2
Philadelphia,44,Office,118036,75.8
Philadelphia,45,Multifamily Housing,195399,44.8
Philadelphia,46,Multifamily Housing,66000,49.1
Philadelphia,47,Multifamily Housing,206391,33.7
Philadelphia,48,K-12 School,185206,15
Philadelphia,49,K-12 School,168259,15.8
Philadelphia,50,Multifamily Housing,214097,66.4
Philadelphia,51,K-12 School,67701,57.1
Philadelphia,52,Multifamily Housing,248832,42.8
Philadelphia,53,K-12 School,88000,55.6
Philadelphia,54,K-12 School,118000,41.5
Philadelphia,55,Multifamily Housing,150000,48.2
Philadelphia,56,Office,759072,57
Philadelphia,57,K-12 School,59000,98.9
Philadelphia,58,Multifamily Housing,95134,57.5
Philadelphia,59,Multifamily Housing,275068,65.8
Philadelphia,60,K-12 School,85550,58.4
Philadelphia,61,K-12 School,173550,126.8
Philadelphia,62,Multifamily Housing,444600,59.1
Philadelphia,63,Office,413228,65.5
Philadelphia,64,K-12 School,283950,60.4
Philadelphia,65,Multifamily Housing,120000,51.9
Philadelphia,66,K-12 School,68000,92.4
Philadelphia,67,Multifamily Housing,81616,39.5
Philadelphia,68,K-12 School,58000,81.6
Philadelphia,69,Multifamily Housing,39400,88.1
Philadelphia,70,Multifamily Housing,60083,5.2
Philadelphia,71,Multifamily Housing,53879,10.2
Philadelphia,72,Multifamily Housing,69175,30.5
Philadelphia,73,Multifamily Housing,67000,37.6
Philadelphia,74,Office,143776,77.5
Philadelphia,75,Office,70814,19.1
Philadelphia,76,Office,52258,81.7
Philadelphia,77,Multifamily Housing,19736,19.8
Philadelphia,78,K-12 School,135208,40.5
Philadelphia,79,Office,96847,39.9
Philadelphia,80,Office,70000,35.3
Philadelphia,81,Multifamily Housing,209437,60.3
Philadelphia,82,Multifamily Housing,66619,23
Philadelphia,83,K-12 School,55621,259.6
Philadelphia,84,K-12 School,168259,237.8
Philadelphia,85,Office,51676,72.4
Philadelphia,86,Office,100572,73.3
Philadelphia,87,Multifamily Housing,300000,49.7
Philadelphia,88,Office,125000,52.4
Philadelphia,89,Office,55784,39.8
Philadelphia,90,Multifamily Housing,63728,6.3
