city,prop_id,facility_type,floor_area,site_eui
San Francisco,1,Multifamily Housing,68575,66.4
San Francisco,2,Multifamily Housing,57000,23.9
San Francisco,3,Multifamily Housing,221255,51.3
San Francisco,4,Multifamily Housing,513768,40.8
San Francisco,5,Multifamily Housing,641987,32.1
San Francisco,6,Multifamily Housing,92647,16.2
San Francisco,7,Multifamily Housing,276783,52.2
San Francisco,8,Multifamily Housing,49742,9.6
San Francisco,9,Multifamily Housing,120130,44.4
San Francisco,10,Multifamily Housing,82320,53.7
San Francisco,11,Multifamily Housing,58535,51.3
San Francisco,12,Office,24564,117.8
San Francisco,13,Multifamily Housing,88806,59.8
San Francisco,14,Office,136728,63.7
San Francisco,15,Multifamily Housing,58287,65.8
San Francisco,16,Office,15800,57.3
San Francisco,17,Office,368280,55.4
San Francisco,18,Office,34149,2.7
San Francisco,19,Office,24708,19.2
San Francisco,20,Multifamily Housing,482898,31.4
San Francisco,21,Office,24444,35.9
San Francisco,22,Office,63959,78.9
San Francisco,23,Multifamily Housing,454539,45.9
San Francisco,24,Multifamily Housing,183934,9.4
San Francisco,25,Office,10837,22
San Francisco,26,Multifamily Housing,58608,83.7
San Francisco,27,Office,18407,33.9
San Francisco,28,Office,42060,17.3
San Francisco,29,Office,136850,30.3
San Francisco,30,Multifamily Housing,100000,21.1
San Francisco,31,Multifamily Housing,122263,67.5
San Francisco,32,Multifamily Housing,368272,39.5
San Francisco,33,Multifamily Housing,67790,71.8
San Francisco,34,Office,239133,52.2
San Francisco,35,Multifamily Housing,99351,22.7
San Francisco,36,Office,36845,31.9
San Francisco,37,Multifamily Housing,128033,41.4
San Francisco,38,Office,15586,87.5
San Francisco,39,Office,603737,61.9
San Francisco,40,Office,133675,55.6
San Francisco,41,Office,50037,24.3
San Francisco,42,Office,112372,69.2
San Francisco,43,Multifamily Housing,87278,24.7
San Francisco,44,Office,410915,40.9
San Francisco,45,Office,47054,54.8
San Francisco,46,Multifamily Housing,156042,37.1
San Francisco,47,Office,35000,3.7
San Francisco,48,Office,118206,72.4
San Francisco,49,Multifamily Housing,183901,26.3
San Francisco,50,Multifamily Housing,530137,22.9
San Francisco,51,Multifamily Housing,251076,41.2
San Francisco,52,Office,15161,30.7
San Francisco,53,Office,268052,44.1
San Francisco,54,Office,26500,48.8
San Francisco,55,Multifamily Housing,65033,71.1
San Francisco,56,Office,30030,108.1
San Francisco,57,Multifamily Housing,153809,33.8
San Francisco,58,Office,268289,50.5
San Francisco,59,Multifamily Housing,236712,24.2
San Francisco,60,Office,98804,54.7
San Francisco,61,Office,19249,33.5
San Francisco,62,Multifamily Housing,106828,34.8
San Francisco,63,Multifamily Housing,77860,47.7
San Francisco,64,Office,20878,77.6
San Francisco,65,Office,222918,45.8
San Francisco,66,Office,29137,27.2
San Francisco,67,Office,814226,40.3
