city,prop_id,facility_type,floor_area,site_eui
Seattle,1,Multifamily Housing,62216,81.7
Seattle,2,K-12 School,56228,28.1
Seattle,3,K-12 School,126351,39.8
Seattle,4,K-12 School,160645,41
Seattle,5,K-12 School,51582,27.2
Seattle,6,Office,87262,56.1
Seattle,7,K-12 School,54986,34.2
Seattle,8,K-12 School,175565,42.3
Seattle,9,Office,94900,137.3
Seattle,10,Office,52554,45.7
Seattle,11,K-12 School,175015,56.6
Seattle,12,Office,88717,51.9
Seattle,13,Office,59400,40.8
Seattle,14,K-12 School,56072,63.3
Seattle,15,Office,54984,65.7
Seattle,16,K-12 School,78972,22.4
Seattle,17,Office,287367,52.6
Seattle,18,Office,571329,59.2
Seattle,19,Office,63888,73.8
Seattle,20,Office,616891,52.4
Seattle,21,Office,50283,59.7
Seattle,22,K-12 School,75364,30.4
Seattle,23,K-12 School,67743,49.6
Seattle,24,Office,63681,82.9
Seattle,25,K-12 School,60725,34
Seattle,26,K-12 School,130862,57.4
Seattle,27,K-12 School,59955,26.4
Seattle,28,K-12 School,93218,34.2
Seattle,29,K-12 School,131013,38.8
Seattle,30,K-12 School,245587,45.8
Seattle,31,K-12 School,66588,6.6
Seattle,32,K-12 School,44324,33.2
Seattle,33,K-12 School,289588,28.4
Seattle,34,Office,96300,142.2
Seattle,35,K-12 School,254523,45.1
Seattle,36,K-12 School,78804,38.1
Seattle,37,K-12 School,66994,37.1
Seattle,38,K-12 School,98357,36.9
Seattle,39,Office,54765,85.7
Seattle,40,Multifamily Housing,102100,32.1
Seattle,41,K-12 School,236758,28.4
Seattle,42,K-12 School,62526,36.7
Seattle,43,K-12 School,242795,33.3
Seattle,44,K-12 School,173185,41.5
Seattle,45,K-12 School,145341,42.9
Seattle,46,K-12 School,184125,38.8
Seattle,47,K-12 School,160270,32.5
Seattle,48,K-12 School,367884,33.6
Seattle,49,K-12 School,46797,45.1
Seattle,50,Office,529375,37.6
Seattle,51,K-12 School,136188,38.9
Seattle,52,K-12 School,67371,33.7
Seattle,53,K-12 School,127776,32.8
Seattle,54,K-12 School,67235,34.4
Seattle,55,Office,91130,97.5
Seattle,56,K-12 School,58118,25.1
Seattle,57,K-12 School,52792,23.8
Seattle,58,K-12 School,70762,55
Seattle,59,Office,44558,31
Seattle,60,Office,190642,50.7
Seattle,61,Multifamily Housing,71606,55.1
Seattle,62,Multifamily Housing,116947,83.1
Seattle,63,Multifamily Housing,37940,40.5
Seattle,64,K-12 School,71714,41.1
Seattle,65,K-12 School,208981,41.3
Seattle,66,Office,50759,55.1
Seattle,67,K-12 School,269297,36.8
Seattle,68,K-12 School,75174,38.7
Seattle,69,K-12 School,75214,50
Seattle,70,K-12 School,134918,25.4
Seattle,71,K-12 School,64414,31.8
Seattle,72,K-12 School,92437,65.3
Seattle,73,Multifamily Housing,56617,34.3
Seattle,74,Multifamily Housing,56745,64.9
Seattle,75,Multifamily Housing,67920,57.6
Seattle,76,K-12 School,204961,42.9
Seattle,77,Office,56500,36.3
Seattle,78,Office,74003,99.9
Seattle,79,Office,59158,69.5
Seattle,80,Office,212210,71.5
Seattle,81,Office,389150,57.3
Seattle,82,Office,791396,69
Seattle,83,Office,542671,47.9
Seattle,84,Office,55652,64
Seattle,85,Office,174790,48.6
Seattle,86,Office,73399,56.9
Seattle,87,Office,233517,77.9
Seattle,88,Office,669915,47.5
Seattle,89,Office,339240,39.2
Seattle,90,Office,89550,7
Seattle,91,Office,89355,12.5
Seattle,92,Office,388934,33.2
Seattle,93,Office,384302,36
Seattle,94,Office,293925,79.8
Seattle,95,Office,1323055,35.7
Seattle,96,Office,460489,40.4
Seattle,97,Office,87315,52.9
Seattle,98,Office,438072,31.2
Seattle,99,Office,146922,157.8
Seattle,100,Office,614158,53.4
Seattle,101,Office,162993,55.3
Seattle,102,Office,754455,53.1
Seattle,103,Office,888049,46.8
Seattle,104,Office,540589,58.9
Seattle,105,Office,201480,45.3
