city,prop_id,facility_type,floor_area,site_eui
Washington DC,1,Multifamily Housing,389352,92.7
Washington DC,2,Multifamily Housing,307722,143
Washington DC,3,Office,315310,69.6
Washington DC,4,Multifamily Housing,426755,85.8
Washington DC,5,Office,207081,58.4
Washington DC,6,Multifamily Housing,254818,39.3
Washington DC,7,Multifamily Housing,68360,83
Washington DC,8,Multifamily Housing,373216,42.3
Washington DC,9,Multifamily Housing,77638,75.5
Washington DC,10,Multifamily Housing,113721,107.2
Washington DC,11,K-12 School,95100,90.4
Washington DC,12,Office,245627,56.5
Washington DC,13,Office,178293,72
Washington DC,14,Office,305149,63.4
Washington DC,15,Multifamily Housing,271827,55.3
Washington DC,16,Office,88011,92.5
Washington DC,17,Multifamily Housing,433100,44.9
Washington DC,18,Multifamily Housing,112894,47.4
Washington DC,19,Multifamily Housing,72000,73.5
Washington DC,20,Multifamily Housing,94500,51
Washington DC,21,Multifamily Housing,126522,58.5
Washington DC,22,Multifamily Housing,87115,84.7
Washington DC,23,Multifamily Housing,107947,76.5
Washington DC,24,Multifamily Housing,70638,101.9
Washington DC,25,Multifamily Housing,210000,50.8
Washington DC,26,Multifamily Housing,316550,45.8
Washington DC,27,Multifamily Housing,988819,73.4
Washington DC,28,Multifamily Housing,83924,40.2
Washington DC,29,Office,304484,33.8
Washington DC,30,Multifamily Housing,67540,93.6
Washington DC,31,Office,161222,89.8
Washington DC,32,Multifamily Housing,67432,60.9
Washington DC,33,Multifamily Housing,90500,46.6
Washington DC,34,Multifamily Housing,226803,51.9
Washington DC,35,Office,358737,45.9
Washington DC,36,Multifamily Housing,103487,77.2
Washington DC,37,Office,516737,41.2
Washington DC,38,Multifamily Housing,396876,88.9
Washington DC,39,Office,260252,81
Washington DC,40,Multifamily Housing,65008,64.9
Washington DC,41,Multifamily Housing,203712,50.9
Washington DC,42,Office,55474,69.8
Washington DC,43,Office,304871,102.7
Washington DC,44,Multifamily Housing,165495,29.2
Washington DC,45,Multifamily Housing,81630,94.4
Washington DC,46,Multifamily Housing,225414,49.9
Washington DC,47,Office,286773,48.9
Washington DC,48,Office,381518,68
Washington DC,49,Multifamily Housing,161623,70.5
Washington DC,50,Office,235326,54.6
Washington DC,51,Office,193537,57.9
Washington DC,52,Office,145743,46.5
Washington DC,53,Multifamily Housing,103906,41.9
Washington DC,54,Office,221647,109.6
Washington DC,55,Office,71543,73.5
Washington DC,56,Office,134457,61.8
Washington DC,57,Office,411505,34.5
Washington DC,58,Office,419988,54.4
Washington DC,59,Office,231164,57.5
Washington DC,60,K-12 School,66404,62.2
Washington DC,61,Office,102080,87.1
Washington DC,62,Multifamily Housing,103790,62.6
Washington DC,63,Multifamily Housing,112000,49.2
Washington DC,64,Office,242937,43.5
Washington DC,65,Office,115080,58.4
Washington DC,66,Office,101978,78.9
Washington DC,67,Office,99469,73.9
Washington DC,68,Office,266515,54
Washington DC,69,Office,270860,61.7
Washington DC,70,Office,379324,55.9
Washington DC,71,Office,102480,38.2
Washington DC,72,Office,173970,51.7
Washington DC,73,Office,59283,72.4
Washington DC,74,Office,71380,33.3
Washington DC,75,Office,73700,17.8
Washington DC,76,Office,84894,75.8
Washington DC,77,Multifamily Housing,158375,49.7
Washington DC,78,Multifamily Housing,175321,71.9
Washington DC,79,Multifamily Housing,211160,69.8
Washington DC,80,Office,193095,88.4
Washington DC,81,Office,312115,24.1
Washington DC,82,Multifamily Housing,187468,58.6
Washington DC,83,Office,81032,41.4
Washington DC,84,Office,887499,64.3
Washington DC,85,Office,169727,62.8
Washington DC,86,Office,251620,93.5
Washington DC,87,Office,122553,365.9
Washington DC,88,Multifamily Housing,85600,77.1
Washington DC,89,Multifamily Housing,260157,49.9
Washington DC,90,Multifamily Housing,66528,84.1
Washington DC,91,Multifamily Housing,61824,220.3
Washington DC,92,Office,205741,72.2
Washington DC,93,Office,354331,43.9
Washington DC,94,Office,214997,69.1
Washington DC,95,Office,60917,62.2
Washington DC,96,Office,235914,32.7
Washington DC,97,Office,1343643,55.2
Washington DC,98,Office,254527,63.2
Washington DC,99,Office,338520,91.8
Washington DC,100,Office,620265,56.9
Washington DC,101,Office,206247,63
Washington DC,102,Multifamily Housing,86166,56.1
Washington DC,103,Office,45065,43.4
Washington DC,104,Office,232957,73.1
Washington DC,105,Office,51424,100.4
Washington DC,106,Office,55818,105.1
Washington DC,107,Office,133338,49.5
Washington DC,108,Office,325215,67.7
Washington DC,109,Multifamily Housing,93684,76.3
Washington DC,110,Office,269071,61.4
Washington DC,111,Office,103501,55.4
Washington DC,112,Office,354926,57.1
Washington DC,113,Office,167330,43.8
Washington DC,114,Office,57523,48.4
Washington DC,115,Office,182220,55.8
Washington DC,116,Office,107102,88.5
Washington DC,117,Office,116140,69.9
Washington DC,118,Office,119549,69.9
Washington DC,119,Office,78643,79.4
Washington DC,120,Office,169111,72.3
Washington DC,121,Office,128261,71.5
Washington DC,122,Office,265243,66.8
Washington DC,123,Office,109909,43.2
Washington DC,124,Office,51261,97
Washington DC,125,Office,213067,63.4
Washington DC,126,Office,180086,50.6
Washington DC,127,Office,101195,61.5
Washington DC,128,Office,198893,60.1
Washington DC,129,Office,264000,76.4
Washington DC,130,Office,401661,57.4
Washington DC,131,Office,111980,62.1
Washington DC,132,Office,160109,43.8
Washington DC,133,Office,72545,54.8
Washington DC,134,Office,180564,58.9
Washington DC,135,Office,46363,65.8
Washington DC,136,Office,248690,48.1
Washington DC,137,Office,390731,48
Washington DC,138,Office,307989,60.1
Washington DC,139,Office,117042,68.8
Washington DC,140,Multifamily Housing,102490,59.5
Washington DC,141,Office,160898,43.6
Washington DC,142,Office,217543,42.2
Washington DC,143,Office,186119,82.6
Washington DC,144,Office,335991,47.4
Washington DC,145,Office,134864,56.2
Washington DC,146,Office,108209,49.6
Washington DC,147,Office,185000,70.4
Washington DC,148,Office,178185,56.6
Washington DC,149,Office,73168,94.4
Washington DC,150,Office,159817,67.1
Washington DC,151,Office,290398,52.7
Washington DC,152,Office,254980,51.9
Washington DC,153,Office,222847,71.4
Washington DC,154,Office,196796,56.1
Washington DC,155,Office,590928,61.8
Washington DC,156,Office,52873,35.9
Washington DC,157,Office,206900,107.7
Washington DC,158,Office,737365,57.2
Washington DC,159,K-12 School,22400,46.9
Washington DC,160,Multifamily Housing,100250,77.3
Washington DC,161,Multifamily Housing,50000,40.4
Washington DC,162,Multifamily Housing,85251,70.4
Washington DC,163,Multifamily Housing,171760,52.2
Washington DC,164,Multifamily Housing,59544,53.8
Washington DC,165,Multifamily Housing,62164,79.2
Washington DC,166,Office,122460,67.6
Washington DC,167,Office,112278,69.8
Washington DC,168,Office,67068,90.6
Washington DC,169,Office,89223,49.7
Washington DC,170,Multifamily Housing,100799,60
Washington DC,171,Multifamily Housing,101476,80.1
Washington DC,172,Multifamily Housing,209012,76.2
Washington DC,173,Office,55000,93.9
Washington DC,174,Office,96447,50.7
Washington DC,175,Office,43000,74.7
Washington DC,176,Office,65273,78.4
Washington DC,177,Multifamily Housing,195480,40
Washington DC,178,Office,159083,72.2
Washington DC,179,Office,202675,44.9
Washington DC,180,Office,182134,67.4
Washington DC,181,Office,171255,55.5
Washington DC,182,Office,182213,78
Washington DC,183,Office,75234,95.6
Washington DC,184,Office,195835,63.8
Washington DC,185,Office,369441,58.9
Washington DC,186,Office,204011,65.6
Washington DC,187,Office,221437,56.6
Washington DC,188,Office,151599,57.1
Washington DC,189,Office,94968,245.9
Washington DC,190,Office,107967,53.5
Washington DC,191,Office,190957,48.7
Washington DC,192,Office,109926,55.2
Washington DC,193,Office,81625,82.3
Washington DC,194,Office,214784,38
Washington DC,195,Office,100147,76.8
Washington DC,196,Office,654156,144.8
Washington DC,197,Office,406131,48.5
Washington DC,198,Office,64425,84.6
Washington DC,199,Office,142750,64.1
Washington DC,200,Office,353236,55.7
Washington DC,201,Office,143739,54.8
Washington DC,202,Office,245597,63.6
Washington DC,203,Office,125938,75.9
Washington DC,204,Office,65245,85.2
Washington DC,205,Office,93189,67.8
Washington DC,206,Office,164692,71.4
Washington DC,207,Office,153527,60.4
Washington DC,208,Office,200430,88
Washington DC,209,Office,122193,57.5
Washington DC,210,Office,136452,57.5
Washington DC,211,Office,176716,94.8
Washington DC,212,Office,259062,68.9
Washington DC,213,Office,297909,66.9
Washington DC,214,Office,273870,59.5
Washington DC,215,Office,67330,58.7
Washington DC,216,Office,149255,98.3
Washington DC,217,Office,184573,75.4
Washington DC,218,Office,123017,59.5
Washington DC,219,Multifamily Housing,84582,50.2
Washington DC,220,Multifamily Housing,64042,67.9
Washington DC,221,Multifamily Housing,74360,46.5
Washington DC,222,Multifamily Housing,69192,55
Washington DC,223,Multifamily Housing,63633,84.1
Washington DC,224,Multifamily Housing,86244,37.6
Washington DC,225,Multifamily Housing,88648,52
Washington DC,226,Multifamily Housing,53532,18.6
Washington DC,227,Multifamily Housing,68680,61.7
Washington DC,228,Multifamily Housing,112000,68.9
Washington DC,229,Office,129780,57.8
Washington DC,230,Office,64843,59.8
Washington DC,231,Office,273886,51.3
Washington DC,232,Multifamily Housing,121261,89.7
Washington DC,233,Multifamily Housing,95532,54
Washington DC,234,Office,120274,58.7
Washington DC,235,Office,228520,60.9
Washington DC,236,Office,62100,67.5
Washington DC,237,Office,95981,53.9
Washington DC,238,Office,75033,56.9
Washington DC,239,Office,223218,90
Washington DC,240,Office,414675,56
Washington DC,241,Office,746237,76.8
Washington DC,242,Office,105891,68.7
Washington DC,243,Office,214759,48.3
Washington DC,244,Office,231860,40.6
Washington DC,245,Office,109300,96.1
Washington DC,246,Office,63510,71.7
Washington DC,247,Multifamily Housing,56145,66.7
Washington DC,248,Office,134672,62.9
Washington DC,249,Office,293912,65.9
Washington DC,250,Office,93176,43.6
Washington DC,251,Office,79495,42.9
Washington DC,252,Office,419302,53.6
Washington DC,253,Office,118244,37.4
Washington DC,254,Office,117509,72.6
Washington DC,255,Office,185000,60.2
Washington DC,256,Office,231784,49.3
Washington DC,257,Multifamily Housing,105000,69.3
Washington DC,258,Multifamily Housing,169532,32.3
Washington DC,259,Multifamily Housing,104390,2.3
Washington DC,260,Multifamily Housing,91382,61.6
Washington DC,261,Multifamily Housing,72451,73.4
Washington DC,262,Multifamily Housing,72000,30.2
Washington DC,263,Multifamily Housing,272450,46.4
Washington DC,264,Office,51761,65
Washington DC,265,Multifamily Housing,97595,109.3
Washington DC,266,Office,394087,59.9
Washington DC,267,Multifamily Housing,452897,67
Washington DC,268,Office,195421,58.4
Washington DC,269,Office,177404,63.8
Washington DC,270,Office,115470,67
Washington DC,271,Office,85277,44.5
Washington DC,272,Office,425566,54.3
Washington DC,273,Office,352256,44.3
Washington DC,274,Office,437222,62
Washington DC,275,Office,231152,49.9
Washington DC,276,Office,286667,53.6
Washington DC,277,Multifamily Housing,133225,30
Washington DC,278,Office,212338,76
Washington DC,279,Office,309502,87
Washington DC,280,Multifamily Housing,149210,42.3
Washington DC,281,Multifamily Housing,178277,93.6
Washington DC,282,Office,79279,248.3
Washington DC,283,Multifamily Housing,121250,43.7
Washington DC,284,Multifamily Housing,57992,73.1
Washington DC,285,Multifamily Housing,51449,44.2
Washington DC,286,Multifamily Housing,77809,74.7
Washington DC,287,Multifamily Housing,99909,138.3
Washington DC,288,Multifamily Housing,116324,53
Washington DC,289,Multifamily Housing,112000,52.1
Washington DC,290,Multifamily Housing,92663,33.3
Washington DC,291,Multifamily Housing,115656,86.6
Washington DC,292,Multifamily Housing,139901,63.5
Washington DC,293,Multifamily Housing,118512,109.4
Washington DC,294,Multifamily Housing,101376,100.5
Washington DC,295,Multifamily Housing,73800,64.3
Washington DC,296,Multifamily Housing,237796,60.7
Washington DC,297,Multifamily Housing,191474,45.9
Washington DC,298,Multifamily Housing,57887,116
Washington DC,299,Multifamily Housing,146229,41
Washington DC,300,Office,279791,49.2
Washington DC,301,Office,192804,6.5
Washington DC,302,Office,207696,66.5
Washington DC,303,Office,285264,31.3
Washington DC,304,Office,171350,62.1
Washington DC,305,Office,318497,55.4
Washington DC,306,Office,528536,73.1
Washington DC,307,Office,67935,67.6
Washington DC,308,Office,238444,60.4
Washington DC,309,Office,186367,67.3
Washington DC,310,Office,68988,82.8
Washington DC,311,Office,193006,66.1
Washington DC,312,Office,163045,62
Washington DC,313,Office,51153,95.1
Washington DC,314,Office,89609,50.1
Washington DC,315,Office,80488,65
Washington DC,316,Office,109878,52.8
Washington DC,317,Office,239478,51.9
Washington DC,318,Office,129594,44.8
Washington DC,319,Office,172557,84
Washington DC,320,Office,51024,58.5
Washington DC,321,Office,67220,42.9
Washington DC,322,Office,51400,43.7
Washington DC,323,Office,228001,68.9
Washington DC,324,Office,212651,48.6
Washington DC,325,Office,319388,54.8
Washington DC,326,Office,58020,83.1
Washington DC,327,Office,78000,88.3
Washington DC,328,Office,181949,64.3
Washington DC,329,Office,175760,66.2
Washington DC,330,Office,74756,53.4
Washington DC,331,Office,374817,43.7
Washington DC,332,Office,258777,83.7
Washington DC,333,Office,207654,54.4
Washington DC,334,Office,78495,56
Washington DC,335,Multifamily Housing,230129,40.8
Washington DC,336,Office,233081,40.5
Washington DC,337,Office,284845,51.8
Washington DC,338,Office,205656,44.8
Washington DC,339,Office,173576,58.1
Washington DC,340,Office,226742,55.2
Washington DC,341,Office,259162,54
Washington DC,342,Office,718241,48.2
Washington DC,343,Office,343755,60.4
Washington DC,344,Office,262770,41.9
Washington DC,345,Multifamily Housing,190036,150
Washington DC,346,Multifamily Housing,68190,11.1
Washington DC,347,Multifamily Housing,233792,59
Washington DC,348,Multifamily Housing,128000,48.2
Washington DC,349,Multifamily Housing,97000,68.4
Washington DC,350,Multifamily Housing,125929,42.8
Washington DC,351,Multifamily Housing,70406,73.5
Washington DC,352,Multifamily Housing,86917,7.6
Washington DC,353,Multifamily Housing,120786,66.9
Washington DC,354,Multifamily Housing,339406,32.1
Washington DC,355,Multifamily Housing,75955,94.3
Washington DC,356,Multifamily Housing,124416,55.4
Washington DC,357,Office,67394,52.9
Washington DC,358,Multifamily Housing,100441,52.2
Washington DC,359,Office,119963,53.1
Washington DC,360,Office,82682,72
Washington DC,361,Office,125000,45.7
Washington DC,362,Office,198452,69.1
Washington DC,363,Office,89372,61.5
Washington DC,364,Multifamily Housing,89649,76.8
Washington DC,365,Office,153800,50.4
Washington DC,366,Office,92054,74.7
Washington DC,367,Office,538084,41.5
Washington DC,368,Office,643325,65.1
Washington DC,369,Office,274041,65.3
Washington DC,370,Office,207599,56.6
Washington DC,371,Office,74898,77.2
Washington DC,372,Office,517464,59.5
Washington DC,373,Office,131330,55.3
Washington DC,374,Office,399907,52.3
Washington DC,375,Office,149720,52.1
Washington DC,376,Office,124368,44.5
Washington DC,377,Office,333484,57.4
Washington DC,378,Office,258655,62.3
Washington DC,379,Office,121733,130.2
Washington DC,380,Office,273111,59.6
Washington DC,381,Office,64160,76.4
Washington DC,382,Office,41619,84
Washington DC,383,Office,61320,76
Washington DC,384,Office,227165,84
Washington DC,385,Office,257943,71
Washington DC,386,Office,488727,92.7
Washington DC,387,Office,594315,50.4
Washington DC,388,Office,328760,61.4
Washington DC,389,Office,519213,51.6
Washington DC,390,Multifamily Housing,178156,33.5
Washington DC,391,Office,34400,75.6
Washington DC,392,K-12 School,60200,59.7
Washington DC,393,Multifamily Housing,103516,24
Washington DC,394,Multifamily Housing,198000,98
Washington DC,395,Multifamily Housing,128560,45.9
Washington DC,396,Multifamily Housing,81461,85.2
Washington DC,397,Multifamily Housing,105370,88.1
Washington DC,398,Multifamily Housing,177359,63.3
Washington DC,399,Multifamily Housing,208720,46.4
Washington DC,400,Multifamily Housing,243130,60.3
Washington DC,401,Office,321980,51.2
Washington DC,402,Office,198814,152.9
Washington DC,403,K-12 School,125000,55.8
Washington DC,404,Office,248131,56.4
Washington DC,405,Office,305868,39.6
Washington DC,406,Office,429455,56.6
Washington DC,407,Office,193051,43.3
Washington DC,408,Office,510400,44.7
Washington DC,409,Office,231089,61.1
Washington DC,410,Office,109335,52.5
Washington DC,411,Office,209728,81.8
Washington DC,412,Office,120044,193.5
Washington DC,413,Office,77041,576.8
Washington DC,414,Office,54700,56.6
Washington DC,415,Office,425344,81.9
Washington DC,416,Office,604301,46.6
Washington DC,417,Office,196325,78.7
Washington DC,418,Office,240578,70.1
Washington DC,419,Office,769685,50.4
Washington DC,420,Office,674553,62.8
Washington DC,421,Office,429348,45
Washington DC,422,Office,169065,59.6
Washington DC,423,Office,583876,58.2
Washington DC,424,Office,652702,75.5
Washington DC,425,Multifamily Housing,133735,33
Washington DC,426,Multifamily Housing,95656,61
Washington DC,427,Multifamily Housing,95792,99.4
Washington DC,428,Office,345115,59.5
Washington DC,429,Office,313852,52.8
Washington DC,430,Office,322448,58.9
Washington DC,431,Office,392374,68.6
Washington DC,432,Multifamily Housing,98618,40.4
Washington DC,433,Office,153440,43.8
Washington DC,434,Office,580706,48.4
Washington DC,435,Office,146986,89.2
Washington DC,436,Office,347864,80.7
Washington DC,437,Office,250692,54.3
Washington DC,438,Office,143997,114.2
Washington DC,439,Office,109959,66.1
Washington DC,440,Office,864085,39
Washington DC,441,Office,366128,83.8
Washington DC,442,Office,244160,57.6
Washington DC,443,Office,504155,68.4
Washington DC,444,Office,443078,47.5
Washington DC,445,Office,233173,61.3
Washington DC,446,Multifamily Housing,80258,59.5
Washington DC,447,Multifamily Housing,80492,47.8
Washington DC,448,Office,75977,72.7
Washington DC,449,Multifamily Housing,212593,34.6
Washington DC,450,Office,181363,109.2
Washington DC,451,Office,366607,63.9
Washington DC,452,Office,414101,69.7
Washington DC,453,Office,876744,58.7
Washington DC,454,Multifamily Housing,124036,58.8
Washington DC,455,Office,57165,25.4
Washington DC,456,K-12 School,69000,48.3
Washington DC,457,Office,27760,41.2
Washington DC,458,Multifamily Housing,233217,45.9
Washington DC,459,Multifamily Housing,177379,48.8
Washington DC,460,Office,274148,54.4
Washington DC,461,Office,160514,53.7
Washington DC,462,Office,604549,53.4
Washington DC,463,Multifamily Housing,374625,85.8
Washington DC,464,Multifamily Housing,581548,67.7
Washington DC,465,Office,344081,44.2
Washington DC,466,Office,200969,60.9
Washington DC,467,Office,112635,70.6
Washington DC,468,Office,118044,52.9
Washington DC,469,Office,187954,52.1
Washington DC,470,Office,174072,93
Washington DC,471,Office,260064,66.1
Washington DC,472,Office,270818,79.7
Washington DC,473,Multifamily Housing,120274,61.9
Washington DC,474,Office,407321,41.9
Washington DC,475,Office,314276,62
Washington DC,476,Office,326513,99.6
Washington DC,477,Office,120838,68.1
Washington DC,478,Multifamily Housing,80000,43.9
Washington DC,479,Multifamily Housing,87604,41.7
Washington DC,480,Office,342799,91.7
Washington DC,481,Office,473143,34.8
Washington DC,482,Office,318853,61.9
Washington DC,483,Office,238127,59.1
Washington DC,484,Office,62466,43.7
Washington DC,485,Office,398837,56.8
Washington DC,486,Office,210645,47.5
Washington DC,487,Office,475190,53.3
Washington DC,488,Multifamily Housing,99672,64.3
Washington DC,489,Office,532128,56.4
Washington DC,490,K-12 School,109000,80.1
Washington DC,491,K-12 School,53000,68.7
Washington DC,492,Multifamily Housing,124702,56.2
Washington DC,493,Multifamily Housing,266168,43.3
Washington DC,494,Multifamily Housing,145200,75.2
Washington DC,495,Multifamily Housing,85571,9.9
Washington DC,496,Office,282901,67.1
Washington DC,497,Office,154799,52.1
Washington DC,498,Multifamily Housing,507385,74.9
Washington DC,499,Office,98425,73.7
Washington DC,500,Multifamily Housing,119316,86.2
Washington DC,501,Multifamily Housing,262000,30.9
Washington DC,502,Multifamily Housing,82800,14.7
Washington DC,503,Multifamily Housing,235784,3.6
Washington DC,504,Office,346459,44.1
Washington DC,505,Office,61230,43.8
Washington DC,506,Office,119468,69
Washington DC,507,Office,514474,65.5
Washington DC,508,Office,511302,34.8
Washington DC,509,Office,74468,42.4
Washington DC,510,Office,541518,67.2
Washington DC,511,Office,356387,45.8
Washington DC,512,Multifamily Housing,161624,1.1
Washington DC,513,Multifamily Housing,341643,6.5
Washington DC,514,Office,163747,72.2
Washington DC,515,Office,153031,88.6
Washington DC,516,Office,56651,80.9
Washington DC,517,Office,244003,57.3
Washington DC,518,Office,572811,55.4
Washington DC,519,Office,145187,76.4
Washington DC,520,Office,1582262,59.8
Washington DC,521,Multifamily Housing,316212,57.4
Washington DC,522,Multifamily Housing,381600,90.6
Washington DC,523,Multifamily Housing,53000,75.8
Washington DC,524,Multifamily Housing,100326,83.2
